Propinsi,Kota/Kab.,Kecamatan,Kelurahan,Kode Pos
Kalimantan Tengah,Palangka Raya,Bukit Batu,Marang,73222
Kalimantan Tengah,Palangka Raya,Bukit Batu,Habaring Hurung,73221
Kalimantan Tengah,Palangka Raya,Sebangau,Kalampangan,73114
Kalimantan Tengah,Pulang Pisau,Sebangau Kuala,Sei/Sungai Bakau,74874
Kalimantan Tengah,Pulang Pisau,Sebangau Kuala,Sei/Sungai Hambawang,74874
Kalimantan Tengah,Pulang Pisau,Sebangau Kuala,Sebangau Permai,74874
Kalimantan Tengah,Pulang Pisau,Sebangau Kuala,Sei/Sungai Bakau,74874
Kalimantan Tengah,Pulang Pisau,Sebangau Kuala,Sei/Sungai Hambawang,74874
Kalimantan Tengah,Pulang Pisau,Sebangau Kuala,Sebangau Jaya,74874
Kalimantan Tengah,Pulang Pisau,Maliku,Gandang,74873
Kalimantan Tengah,Pulang Pisau,Maliku,Gandang Barat,74873
Kalimantan Tengah,Pulang Pisau,Maliku,Badirih,74873
Kalimantan Tengah,Pulang Pisau,Pandih Batu,Sanggang,74871
Kalimantan Tengah,Pulang Pisau,Pandih Batu,Pangkoh Sari,74871
Kalimantan Tengah,Pulang Pisau,Pandih Batu,Pangkoh Hulu,74871
Kalimantan Tengah,Pulang Pisau,Banama Tingang,Pahawan,74863
Kalimantan Tengah,Pulang Pisau,Banama Tingang,Kasali Baru,74863
Kalimantan Tengah,Pulang Pisau,Banama Tingang,Lawang Uru,74863
Kalimantan Tengah,Pulang Pisau,Kahayan Tengah,Balukun,74862
Kalimantan Tengah,Pulang Pisau,Kahayan Hilir,Mantaren II,74861
Kalimantan Tengah,Pulang Pisau,Kahayan Hilir,Buntoi,74861
Kalimantan Tengah,Lamandau,Delang,Sepoyu,74664
Kalimantan Tengah,Lamandau,Delang,Riam Penahan,74664
Kalimantan Tengah,Lamandau,Delang,Riam Tinggi,74664
Kalimantan Tengah,Lamandau,Belantikan Raya,Sumber Cahaya,74663
Kalimantan Tengah,Lamandau,Belantikan Raya,Tangga Batu,74663
Kalimantan Tengah,Lamandau,Lamandau,Suja,74663
Kalimantan Tengah,Lamandau,Bulik,Nanga Bulik,74611
Kalimantan Tengah,Lamandau,Bulik,Kujan,74612
Kalimantan Tengah,Kapuas,Mandau Talawang,Tumbang Tihis,74581
Kalimantan Tengah,Kapuas,Kapuas Hulu,Hurung Tampang,74581
Kalimantan Tengah,Kapuas,Kapuas Hulu,Bulau Ngandung,74581
Kalimantan Tengah,Kapuas,Kapuas Hulu,Dirung Koram,74581
Kalimantan Tengah,Gunung Mas,Manuhing Raya,Tumbang Oroi,74562
Kalimantan Tengah,Gunung Mas,Manuhing Raya,Tumbang Samui,74562
Kalimantan Tengah,Gunung Mas,Manuhing,Tumbang Jelemu,74562
Kalimantan Tengah,Gunung Mas,Rungan Hulu,Tumbang Lapan,74561
Kalimantan Tengah,Gunung Mas,Rungan,Tumbang Malahoi/Malahui,74561
Kalimantan Tengah,Gunung Mas,Rungan Barat,Tumbang Langgah,74561
Kalimantan Tengah,Gunung Mas,Rungan Hulu,Jangkit,74561
Kalimantan Tengah,Gunung Mas,Rungan Barat,Jalemu Masulan,74561
Kalimantan Tengah,Gunung Mas,Rungan Barat,Jalemu Raya,74561
Kalimantan Tengah,Gunung Mas,Miri Manasa,Tumbang Manyoi,74553
Kalimantan Tengah,Gunung Mas,Damang Batu,Tumbang Mahuroi,74553
Kalimantan Tengah,Gunung Mas,Miri Manasa,Tumbang Lapan,74553
Kalimantan Tengah,Gunung Mas,Tewah,Tumbang Pajangei,74552
Kalimantan Tengah,Gunung Mas,Tewah,Upun Batu,74552
Kalimantan Tengah,Gunung Mas,Tewah,Tewah,74552
Kalimantan Tengah,Gunung Mas,Kurun,Tumbang Manyangan,74511
Kalimantan Tengah,Gunung Mas,Kurun,Tumbang Anjir,74511
Kalimantan Tengah,Gunung Mas,Kurun,Tumbang Hakau,74511
Kalimantan Tengah,Katingan,Katingan Kuala,Sebangau Jaya,74463
Kalimantan Tengah,Katingan,Katingan Kuala,Pegatan/Pagatan Hilir,74463
Kalimantan Tengah,Katingan,Katingan Kuala,Pegatan/Pagatan Hulu,74463
Kalimantan Tengah,Katingan,Kamipang,Baun Bango,74462
Kalimantan Tengah,Katingan,Kamipang,Galinggang,74462
Kalimantan Tengah,Katingan,Tasik Payawan,Tumbang Panggo,74461
Kalimantan Tengah,Katingan,Bukit Raya,Tumbang Kaburai,74457
Kalimantan Tengah,Katingan,Bukit Raya,Tumbang Kajamei,74457
Kalimantan Tengah,Katingan,Bukit Raya,Tumbang Karuei,74457
Kalimantan Tengah,Katingan,Katingan Hulu,Kuluk Sepangi/Sapangi,74457
Kalimantan Tengah,Katingan,Bukit Raya,Penda Nange,74457
Kalimantan Tengah,Katingan,Katingan Hulu,Dehes Asem,74457
Kalimantan Tengah,Katingan,Marikit,Buntut Leleng,74456
Kalimantan Tengah,Katingan,Marikit,Kuluk Leleng,74456
Kalimantan Tengah,Katingan,Marikit,Batu Panahan,74456
Kalimantan Tengah,Katingan,Sanaman Mantikei (Senamang Mantikei),Daya Manunggal,74455
Kalimantan Tengah,Katingan,Sanaman Mantikei (Senamang Mantikei),Dehes,74455
Kalimantan Tengah,Katingan,Petak Malai,Batu Badak,74455
Kalimantan Tengah,Katingan,Pulau Malan,Tumbang Tungku,74453
Kalimantan Tengah,Katingan,Pulau Malan,Tura,74453
Kalimantan Tengah,Katingan,Pulau Malan,Tumbang Lawang,74453
Kalimantan Tengah,Katingan,Tewang Sanggalang Garing (Sangalang),Pendahara,74452
Kalimantan Tengah,Katingan,Tewang Sanggalang Garing (Sangalang),Sei/Sungai Keruh,74452
Kalimantan Tengah,Katingan,Tewang Sanggalang Garing (Sangalang),Bangkuang,74452
Kalimantan Tengah,Kotawaringin Timur,Mentaya Hilir Selatan,Jaya Kelapa,74363
Kalimantan Tengah,Kotawaringin Timur,Teluk Sampit,Kuin Permai,74363
Kalimantan Tengah,Kotawaringin Timur,Teluk Sampit,Lampuyang,74363
Kalimantan Tengah,Kotawaringin Timur,Mentaya Hilir Utara,Bagendang Tengah,74361
Kalimantan Tengah,Kotawaringin Timur,Mentaya Hilir Utara,Natai Baru,74361
Kalimantan Tengah,Kotawaringin Timur,Mentaya Hilir Utara,Bagendang Hulu,74361
Kalimantan Tengah,Kotawaringin Timur,Mentaya Hulu,Tanjung Batur,74356
Kalimantan Tengah,Kotawaringin Timur,Mentaya Hulu,Tangar,74356
Kalimantan Tengah,Kotawaringin Timur,Mentaya Hulu,Tangka Robah,74356
Kalimantan Tengah,Kotawaringin Timur,Tualan Hulu,Tanjung Jorong,74355
Kalimantan Tengah,Kotawaringin Timur,Parenggean,Sari Harapan,74355
Kalimantan Tengah,Kotawaringin Timur,Tualan Hulu,Sebungsu,74355
Kalimantan Tengah,Kotawaringin Timur,Cempaga Hulu,Tumbang Koling/Kuling,74354
Kalimantan Tengah,Kotawaringin Timur,Cempaga Hulu,Sudan,74354
Kalimantan Tengah,Kotawaringin Timur,Cempaga Hulu,Sungai Ubar Mandiri,74354
Kalimantan Tengah,Kotawaringin Timur,Telawang,Sumber Makmur,74353
Kalimantan Tengah,Kotawaringin Timur,Kota Besi,Simpur,74353
Kalimantan Tengah,Kotawaringin Timur,Kota Besi,Soren,74353
Kalimantan Tengah,Kotawaringin Timur,Telaga Antang,Tumbang Puan,74352
Kalimantan Tengah,Kotawaringin Timur,Antang Kalang,Tumbang Manya,74352
Kalimantan Tengah,Kotawaringin Timur,Antang Kalang,Tumbang Ngahan,74352
Kalimantan Tengah,Kotawaringin Timur,Antang Kalang,Kuluk Telawang,74352
Kalimantan Tengah,Kotawaringin Timur,Antang Kalang,Buntut Nusa,74352
Kalimantan Tengah,Kotawaringin Timur,Telaga Antang,Bukit Indah,74352
Kalimantan Tengah,Kotawaringin Timur,Baamang,Tinduk,74316
Kalimantan Tengah,Kotawaringin Timur,Seranau,Terantang,74314
Kalimantan Tengah,Kotawaringin Timur,Seranau,Batuah,74315
Kalimantan Tengah,Seruyan,Seruyan Hulu,Tumbang Laku,74291
Kalimantan Tengah,Seruyan,Suling Tambun,Tumbang Hentas,74291
Kalimantan Tengah,Seruyan,Seruyan Hulu,Tumbang Kalam,74291
Kalimantan Tengah,Seruyan,Seruyan Tengah,Tumbang Bai/Bei,74281
Kalimantan Tengah,Seruyan,Seruyan Tengah,Sukorejo (Suku Rejo),74281
Kalimantan Tengah,Seruyan,Seruyan Tengah,Tangga Batu,74281
Kalimantan Tengah,Seruyan,Seruyan Tengah,Bumi Jaya (Bumi Ayu),74281
Kalimantan Tengah,Seruyan,Batu Ampar,Derawa,74281
Kalimantan Tengah,Seruyan,Batu Ampar,Durian Kait,74281
Kalimantan Tengah,Seruyan,Danau Sembuluh,Ulak Batu,74261
Kalimantan Tengah,Seruyan,Seruyan Raya,Terawan,74261
Kalimantan Tengah,Seruyan,Seruyan Raya,Tabiku,74261
Kalimantan Tengah,Seruyan,Seruyan Hilir Timur,Kartika Bhakti/Bakti,74215
Kalimantan Tengah,Seruyan,Seruyan Hilir,Kuala Pembuang Dua (II),74215
Kalimantan Tengah,Seruyan,Seruyan Hilir Timur,Bangun Harja/Harjo,74215
Kalimantan Tengah,Kotawaringin Barat,Pangkalan Lada,Kadipi Atas,74184
Kalimantan Tengah,Kotawaringin Barat,Pangkalan Banteng,Sungai Kuning,74183
Kalimantan Tengah,Kotawaringin Barat,Pangkalan Banteng,Sungai Pakit,74183
Kalimantan Tengah,Kotawaringin Barat,Kumai,Sei/Sungai Tendang,74181
Kalimantan Tengah,Kotawaringin Barat,Kumai,Sei/Sungai Bedaun,74181
Kalimantan Tengah,Kotawaringin Barat,Kumai,Sei/Sungai Cabang,74181
Kalimantan Tengah,Sukamara,Permata Kecubung,Natai Kondang,74173
Kalimantan Tengah,Sukamara,Permata Kecubung,Laman Baru,74173
Kalimantan Tengah,Sukamara,Balai Riam,Lupu Peruca,74173
Kalimantan Tengah,Sukamara,Pantai Lunci,Sei/Sungai Pasir,74171
Kalimantan Tengah,Sukamara,Pantai Lunci,Sei/Sungai Cabang Barat,74171
Kalimantan Tengah,Sukamara,Pantai Lunci,Sei/Sungai Damar,74171
Kalimantan Tengah,Lamandau,Bulik Timur,Pedongatan,74162
Kalimantan Tengah,Lamandau,Bulik Timur,Nanga Palikodan,74162
Kalimantan Tengah,Lamandau,Menthobi Raya,Nanuah,74162
Kalimantan Tengah,Lamandau,Sematu Jaya,Bina Bhakti,74162
Kalimantan Tengah,Lamandau,Bulik Timur,Batu Tunggal,74162
Kalimantan Tengah,Lamandau,Bulik,Beruta,74162
Kalimantan Tengah,Kotawaringin Barat,Kotawaringin Lama,Ipuh Bangun Jaya,74161
Kalimantan Tengah,Kotawaringin Barat,Kotawaringin Lama,Kinjil,74161
Kalimantan Tengah,Kotawaringin Barat,Kotawaringin Lama,Babual Baboti,74161
Kalimantan Tengah,Kotawaringin Barat,Arut Selatan,Pasir Panjang,74117
Kalimantan Tengah,Kotawaringin Barat,Arut Selatan,Rangda,74117
Kalimantan Tengah,Kotawaringin Barat,Arut Selatan,Medangsari,74117
Kalimantan Tengah,Murung Raya,Laung Tuhup,Tumbang Bahan,73991
Kalimantan Tengah,Murung Raya,Laung Tuhup,Penda Siron,73991
Kalimantan Tengah,Murung Raya,Laung Tuhup,Tahujan Laung,73991
Kalimantan Tengah,Murung Raya,Barito Tuhup Raya,Cinta Budiman,73991
Kalimantan Tengah,Murung Raya,Laung Tuhup,Dirung Pinang,73991
Kalimantan Tengah,Murung Raya,Barito Tuhup Raya,Bumban Tuhup,73991
Kalimantan Tengah,Murung Raya,Seribu Riam,Tumbang Jojang,73981
Kalimantan Tengah,Murung Raya,Sumber Barito,Teluk/Telok Jolo,73981
Kalimantan Tengah,Murung Raya,Sumber Barito,Tumbang Kunyi,73981
Kalimantan Tengah,Murung Raya,Permata Intan,Sei/Sungai Gula,73971
Kalimantan Tengah,Murung Raya,Permata Intan,Sei/Sungai Batang,73971
Kalimantan Tengah,Murung Raya,Permata Intan,Purnama,73971
Kalimantan Tengah,Murung Raya,Tanah Siang,Osom Tompok,73961
Kalimantan Tengah,Murung Raya,Tanah Siang,Olung Siron,73961
Kalimantan Tengah,Murung Raya,Tanah Siang,Olung Soloi,73961
Kalimantan Tengah,Murung Raya,Tanah Siang Selatan,Datah Kotou,73961
Kalimantan Tengah,Murung Raya,Tanah Siang,Dirung Bakung,73961
Kalimantan Tengah,Murung Raya,Tanah Siang,Belawan,73961
Kalimantan Tengah,Barito Utara,Teweh Timur,Sei/Sungai Liju,73881
Kalimantan Tengah,Barito Utara,Teweh Baru,Panaen,73881
Kalimantan Tengah,Barito Utara,Teweh Timur,Sampirang I,73881
Kalimantan Tengah,Barito Utara,Gunung Purei,Lampeong II,73871
Kalimantan Tengah,Barito Utara,Gunung Purei,Lawarang,73871
Kalimantan Tengah,Barito Utara,Gunung Purei,Berong,73871
Kalimantan Tengah,Barito Utara,Gunung Timang,Baturaya I,73862
Kalimantan Tengah,Barito Utara,Montallat (Montalat),Tumpung Laung I,73861
Kalimantan Tengah,Barito Utara,Montallat (Montalat),Tumpung Laung II,73861
Kalimantan Tengah,Barito Utara,Lahei Barat,Luwe Hilir,73852
Kalimantan Tengah,Barito Utara,Lahei Barat,Luwe Hulu,73852
Kalimantan Tengah,Barito Utara,Lahei,Lahei I,73852
Kalimantan Tengah,Barito Utara,Teweh Tengah,Sei/Sungai Rahayu II,73814
Kalimantan Tengah,Barito Utara,Teweh Tengah,Rimba Sari,73814
Kalimantan Tengah,Barito Utara,Teweh Baru,Sabuh,73814
Kalimantan Tengah,Barito Utara,Teweh Tengah,Lanjas,73812
Kalimantan Tengah,Barito Utara,Teweh Tengah,Melayu,73811
Kalimantan Tengah,Barito Selatan,Jenamas,Tampulang,73763
Kalimantan Tengah,Barito Selatan,Karau Kuala,Tampijak,73761
Kalimantan Tengah,Barito Selatan,Karau Kuala,Malitin,73761
Kalimantan Tengah,Barito Selatan,Karau Kuala,Muara Arai,73761
Kalimantan Tengah,Barito Selatan,Gunung Bintang Awai,Muka Haji,73753
Kalimantan Tengah,Barito Selatan,Gunung Bintang Awai,Marga Jaya,73753
Kalimantan Tengah,Barito Selatan,Gunung Bintang Awai,Muara Singan,73753
Kalimantan Tengah,Barito Selatan,Dusun Utara,Majundre,73752
Kalimantan Tengah,Barito Selatan,Dusun Utara,Marawan Baru,73752
Kalimantan Tengah,Barito Selatan,Dusun Utara,Hingan,73752
Kalimantan Tengah,Barito Selatan,Dusun Selatan,Teluk Mampun,73713
Kalimantan Tengah,Barito Selatan,Dusun Selatan,Pamangka,73713
Kalimantan Tengah,Barito Selatan,Dusun Selatan,Mangaris,73713
Kalimantan Tengah,Barito Timur,Awang,Hayaping,73681
Kalimantan Tengah,Barito Timur,Awang,Janah Jari,73681
Kalimantan Tengah,Barito Timur,Awang,Bangkirayen,73681
Kalimantan Tengah,Barito Timur,Benua Lima,Gudang Seng,73661
Kalimantan Tengah,Barito Timur,Benua Lima,Kandris,73661
Kalimantan Tengah,Barito Timur,Benua Lima,Bamban,73661
Kalimantan Tengah,Barito Timur,Paku,Taringsing,73652
Kalimantan Tengah,Barito Timur,Raren Batuah,Tangkum,73652
Kalimantan Tengah,Barito Timur,Paku,Tampa,73652
Kalimantan Tengah,Barito Timur,Paku,Kupang Baru,73652
Kalimantan Tengah,Barito Timur,Karusen Janang,Lagan,73652
Kalimantan Tengah,Barito Timur,Raren Batuah,Lenggang,73652
Kalimantan Tengah,Barito Timur,Paju Epat,Tampulangit,73617
Kalimantan Tengah,Barito Timur,Paju Epat,Telang Baru,73617
Kalimantan Tengah,Barito Timur,Paju Epat,Siong,73617
Kalimantan Tengah,Kapuas,Dadahup,Tambak Bajai,73593
Kalimantan Tengah,Kapuas,Kapuas Murung,Tajepan,73593
Kalimantan Tengah,Kapuas,Kapuas Murung,Talekung Punai,73593
Kalimantan Tengah,Kapuas,Dadahup,Manuntung,73593
Kalimantan Tengah,Kapuas,Kapuas Murung,Mangala Permai,73593
Kalimantan Tengah,Kapuas,Kapuas Murung,Karya Bersama,73593
Kalimantan Tengah,Kapuas,Pulau Petak,Narahan,73592
Kalimantan Tengah,Kapuas,Pulau Petak,Narahan Baru,73592
Kalimantan Tengah,Kapuas,Pulau Petak,Handiwung,73592
Kalimantan Tengah,Kapuas,Kapuas Kuala,Sei/Sungai Teras,73583
Kalimantan Tengah,Kapuas,Kapuas Kuala,Palampai,73583
Kalimantan Tengah,Kapuas,Kapuas Kuala,Pematang,73583
Kalimantan Tengah,Kapuas,Basarang,Pangkalan Rekan,73564
Kalimantan Tengah,Kapuas,Basarang,Maluen,73564
Kalimantan Tengah,Kapuas,Basarang,Naning,73564
Kalimantan Tengah,Kapuas,Kapuas Tengah,Masaran,73555
